iter	Accuracy_SumError	Accuracy_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
337	111859	126000	48825	55358	56433
338	111857	126000	48822	55354	56433
339	111859	126000	48825	55358	56433
340	111861	126000	48827	55360	56433
341	111865	126000	48830	55362	56433
342	111865	126000	48830	55362	56433
343	111862	126000	48828	55361	56433
344	111864	126000	48827	55357	56433
345	111864	126000	48829	55361	56433
346	111869	126000	48832	55362	56433
347	111867	126000	48831	55362	56433
348	111868	126000	48831	55361	56433
349	111870	126000	48831	55359	56433
350	111870	126000	48830	55357	56433
351	111874	126000	48833	55359	56433
352	111868	126000	48830	55359	56433
353	111870	126000	48831	55359	56433
354	111873	126000	48832	55358	56433
355	111874	126000	48833	55359	56433
356	111875	126000	48835	55362	56433
357	111878	126000	48837	55363	56433
358	111879	126000	48836	55360	56433
359	111874	126000	48833	55359	56433
360	111881	126000	48838	55362	56433
361	111880	126000	48836	55359	56433
362	111879	126000	48833	55354	56433
363	111875	126000	48832	55356	56433
364	111879	126000	48836	55360	56433
365	111878	126000	48833	55355	56433
366	111874	126000	48833	55359	56433
367	111877	126000	48835	55360	56433
368	111877	126000	48835	55360	56433
369	111873	126000	48836	55366	56433
370	111871	126000	48833	55362	56433
371	111875	126000	48836	55364	56433
372	111878	126000	48837	55363	56433
373	111880	126000	48839	55365	56433
374	111880	126000	48839	55365	56433
375	111884	126000	48843	55369	56433
376	111883	126000	48842	55368	56433
377	111882	126000	48841	55367	56433
378	111877	126000	48840	55370	56433
379	111878	126000	48839	55367	56433
380	111882	126000	48843	55371	56433
381	111884	126000	48845	55373	56433
382	111885	126000	48846	55374	56433
383	111882	126000	48847	55379	56433
384	111884	126000	48847	55377	56433
385	111883	126000	48849	55382	56433
386	111887	126000	48851	55382	56433
387	111890	126000	48851	55379	56433
388	111884	126000	48846	55375	56433
389	111885	126000	48846	55374	56433
390	111886	126000	48846	55373	56433
391	111888	126000	48849	55377	56433
392	111884	126000	48845	55373	56433
393	111884	126000	48845	55373	56433
394	111884	126000	48844	55371	56433
395	111888	126000	48847	55373	56433
396	111885	126000	48844	55370	56433
397	111892	126000	48848	55371	56433
398	111892	126000	48847	55369	56433
399	111892	126000	48849	55373	56433
400	111890	126000	48848	55373	56433
401	111893	126000	48849	55372	56433
402	111893	126000	48851	55376	56433
403	111893	126000	48849	55372	56433
404	111897	126000	48850	55370	56433
405	111900	126000	48852	55371	56433
406	111899	126000	48853	55374	56433
407	111898	126000	48854	55377	56433
408	111899	126000	48855	55378	56433
409	111897	126000	48855	55380	56433
410	111899	126000	48856	55380	56433
411	111901	126000	48858	55382	56433
412	111899	126000	48859	55386	56433
413	111899	126000	48858	55384	56433
414	111901	126000	48861	55388	56433
415	111902	126000	48861	55387	56433
416	111904	126000	48861	55385	56433
417	111904	126000	48861	55385	56433
418	111905	126000	48864	55390	56433
419	111905	126000	48863	55388	56433
420	111898	126000	48858	55385	56433
421	111901	126000	48859	55384	56433
422	111902	126000	48860	55385	56433
423	111903	126000	48860	55384	56433
424	111903	126000	48860	55384	56433
425	111902	126000	48858	55381	56433
426	111902	126000	48858	55381	56433
427	111898	126000	48858	55385	56433
428	111901	126000	48860	55386	56433
429	111904	126000	48860	55383	56433
430	111903	126000	48859	55382	56433
431	111903	126000	48860	55384	56433
432	111904	126000	48861	55385	56433
433	111907	126000	48863	55386	56433
434	111906	126000	48861	55383	56433
435	111908	126000	48862	55383	56433
436	111908	126000	48863	55385	56433
437	111907	126000	48862	55384	56433
438	111906	126000	48861	55383	56433
439	111904	126000	48860	55383	56433
440	111905	126000	48861	55384	56433
441	111905	126000	48863	55388	56433
442	111908	126000	48864	55387	56433
443	111906	126000	48863	55387	56433
444	111904	126000	48863	55389	56433
445	111905	126000	48864	55390	56433
446	111904	126000	48863	55389	56433
447	111907	126000	48865	55390	56433
448	111910	126000	48866	55389	56433
449	111912	126000	48867	55389	56433
450	111912	126000	48867	55389	56433
451	111915	126000	48870	55392	56433
452	111914	126000	48867	55387	56433
453	111914	126000	48867	55387	56433
454	111914	126000	48867	55387	56433
455	111910	126000	48865	55387	56433
456	111909	126000	48864	55386	56433
457	111908	126000	48864	55387	56433
458	111905	126000	48865	55392	56433
459	111905	126000	48865	55392	56433
460	111903	126000	48865	55394	56433
461	111902	126000	48865	55395	56433
462	111901	126000	48862	55390	56433
463	111902	126000	48862	55389	56433
464	111901	126000	48862	55390	56433
465	111907	126000	48865	55390	56433
466	111909	126000	48867	55392	56433
467	111910	126000	48868	55393	56433
468	111910	126000	48867	55391	56433
469	111907	126000	48867	55394	56433
470	111914	126000	48869	55391	56433
471	111914	126000	48869	55391	56433
472	111913	126000	48868	55390	56433
473	111914	126000	48868	55389	56433
474	111914	126000	48868	55389	56433
475	111914	126000	48869	55391	56433
476	111913	126000	48869	55392	56433
477	111916	126000	48871	55393	56433
478	111917	126000	48873	55396	56433
479	111912	126000	48869	55393	56433
480	111915	126000	48872	55396	56433
481	111911	126000	48869	55394	56433
482	111914	126000	48870	55393	56433
483	111915	126000	48872	55396	56433
484	111915	126000	48872	55396	56433
485	111915	126000	48872	55396	56433
486	111914	126000	48873	55399	56433
487	111915	126000	48873	55398	56433
488	111916	126000	48874	55399	56433
489	111919	126000	48874	55396	56433
490	111917	126000	48873	55396	56433
491	111922	126000	48875	55395	56433
492	111921	126000	48874	55394	56433
493	111922	126000	48875	55395	56433
494	111920	126000	48875	55397	56433
495	111922	126000	48879	55403	56433
496	111918	126000	48874	55397	56433
497	111922	126000	48876	55397	56433
498	111919	126000	48872	55392	56433
